"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"1","AFG","Afghanistan","Asia","South Asia",63.2099,410,44.96735,35530.081,55.14,13.29011,3.9,5.45455,2.538,0.478,10.26384398,2.98506999
"2","AGO","Angola","Africa","Sub-Saharan Africa",63.06044,3960,48.33796,29784.193,38.29,3.26631,8,16.93721,2.14,0.586,12.1721,5.417390823
"3","ALB","Albania","Europe","Europe & Central Asia",78.00018,3970,8.75843,2873.457,18.07,3.56019,28.893,54.65596,18.754,0.796,14.44799995,11.28645502
"4","AND","Andorra","Europe","Europe & Central Asia",NA,41750,2.38052,76.965,8.71,NA,NA,86.43443,33.333,0.858,13.30023874,10.55511952
"5","ARE","United Arab Emirates","Asia","Middle East & North Africa",76.07952,39640,5.62012,9400.145,44.87,0.94339,13.8,85,26.011,0.911,15.71769047,12.69402981
"6","ARG","Argentina","Americas","Latin America & Caribbean",76.57514,8620,7.60766,44271.041,12.58,10.44673,49.92,55.8,40.596,0.842,17.8748703,11.14726927
"7","ARM","Armenia","Asia","Europe & Central Asia",76.02519,3200,9.74308,2930.45,33.84,1.50173,41.628,39.16079,44.023,0.759,13.11676025,11.33030033
"8","ATG","Antigua and Barbuda","Americas","Latin America & Caribbean",76.45393,NA,5.37702,102.012,21.03,2.41814,28.91845,83.78717,27.673,0.788,14.18462641,9.293740746
"9","AUS","Australia","Oceania","East Asia & Pacific",83.04064,46200,3.14106,24598.933,7.14,0.66419,38.4,82.34955,41.292,0.951,21.05459023,12.72681999
"10","AUT","Austria","Europe","Europe & Central Asia",81.64519,46920,2.96582,8809.212,12.15,0.52207,72.7,81,52.933,0.916,16.00795937,12.25669003
"11","AZE","Azerbaijan","Asia","Europe & Central Asia",71.42894,5380,17.31973,9862.429,20.99,2.50388,48.217,54.2,31.678,0.745,13.49689007,10.5429697
"12","BDI","Burundi","Africa","Sub-Saharan Africa",63.83847,230,38.6358,10864.245,36.81,6.59062,7.9,1.22,0.717,0.426,10.72272189,3.129266883
"13","BEL","Belgium","Europe","Europe & Central Asia",81.42305,45780,3.43993,11372.068,12.68,1.45846,55.8,82,60.789,0.937,19.60421944,12.37567997
"14","BEN","Benin","Africa","Sub-Saharan Africa",63.42606,780,56.53792,11175.692,42.17,9.428,5,3.7977,0.647,0.525,10.76667976,4.304786445
"15","BFA","Burkina Faso","Africa","Sub-Saharan Africa",62.7035,550,52.82321,19193.382,55.96,9.56286,4,3.72503,0.94,0.449,9.142100334,2.114962259
"16","BGD","Bangladesh","Asia","South Asia",74.25471,700,24.32346,164669.751,62.79,4.09436,7.95,6.3,6.672,0.661,12.44198036,7.379059792
"17","BGR","Bulgaria","Europe","Europe & Central Asia",75.07156,6320,5.13822,7075.991,19.04,0.68653,74.54,55.1481,42.071,0.795,13.89729023,11.41318035
"18","BHR","Bahrain","Asia","Middle East & North Africa",75.81459,15920,5.77777,1492.584,63.21,0.28159,17.4,88,9.257,0.875,16.29755974,11.04658985
"19","BHS","Bahamas","Americas","Latin America & Caribbean",73.21226,21970,10.53337,395.361,16.57,38.12186,29.56814,71.7482,19.387,0.812,12.89945,12.64192386
"20","BIH","Bosnia and Herzegovina","Europe","Europe & Central Asia",76.75007,4740,4.94875,3507.017,28.14,2.22739,34.933,65.35609,21.616,0.78,13.8,10.53631973
"21","BLR","Belarus","Europe","Europe & Central Asia",74.80977,5990,2.19082,9507.875,16.36,3.83284,108.329,46.90601,45.382,0.808,15.16996956,12.14358044
"22","BLZ","Belize","Americas","Latin America & Caribbean",74.40823,3640,10.03005,374.681,20.61,65.90166,10.35534,25,10.78,0.683,12.99168968,8.847599983
"23","BOL","Bolivia (Plurinational State of)","Americas","Latin America & Caribbean",72.13765,1810,20.71716,11051.6,26.06,3.08692,12.93026,34.18843,10.299,0.692,14.94697094,9.827750206
"24","BRA","Brazil","Americas","Latin America & Caribbean",75.90331,9540,13.13083,209288.278,11.62,60.27932,20.87131,49.848,23.106,0.754,15.59906006,8.128813955
"25","BRB","Barbados","Americas","Latin America & Caribbean",76.0344,12660,11.37698,285.719,24.82,11.26675,59.67402,73.32981,24.878,0.79,15.71338458,9.852700596
"26","BRN","Brunei Darussalam","Asia","East Asia & Pacific",74.32442,31800,9.64416,428.697,7.51,0.88948,28.5,60.27306,16.09,0.829,13.95178032,9.18
"27","BTN","Bhutan","Asia","South Asia",73.1091,1870,23.17753,807.61,37.57,1.27145,17.4,25.43435,4.99,0.666,13.22500478,5.170262283
"28","BWA","Botswana","Africa","Sub-Saharan Africa",62.24785,6750,36.08304,2291.661,25.16,16.89481,18,11.5,3.784,0.693,12.26513765,10.34
"29","CAF","Central African Republic","Africa","Sub-Saharan Africa",53.09729,470,77.49618,4659.08,43.27,34.7064,10,3,0.718,0.404,8.040171714,4.334
"30","CAN","Canada","Americas","North America",82.23827,43250,4.37898,36708.083,6.41,1.61726,25.2,86.76586,24.425,0.936,16.39625931,13.83442722
"31","CHE","Switzerland","Europe","Europe & Central Asia",83.44616,71590,3.52319,8466.017,10.11,0.44113,46.3,85.2,43.804,0.962,16.50029945,13.85966015
"32","CHL","Chile","Americas","Latin America & Caribbean",80.73621,10750,5.77363,18054.726,23.92,6.90683,20.6,61.41816,28.351,0.855,16.73130035,10.9349663
"33","CHN","China","Asia","East Asia & Pacific",77.43322,4240,5.46606,1386395,45.76,0.69985,43.1,42.30012,22.266,0.768,14.2361149,7.600118446
